ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
381863905;8604205;18/11/2018
381863905;2890843;18/11/2018
381738561;5384588;16/11/2018
381738561;5384588;16/11/2018
381738561;6075637;16/11/2018
381738561;5384588;16/11/2018
381738561;5384588;16/11/2018
381738561;6075637;16/11/2018
381738561;1153097;19/11/2018
381595415;5384588;16/11/2018
381595415;5384588;16/11/2018
381595415;22151370;16/11/2018
381595415;5384588;16/11/2018
381595415;5384588;16/11/2018
381595415;22151370;16/11/2018
381595415;5384588;16/11/2018
381595415;5384588;16/11/2018
381595415;22151370;16/11/2018
381595415;8604205;23/11/2018
381595415;5384588;23/11/2018
381595415;5384588;23/11/2018
381595415;22151370;23/11/2018
381595415;8604205;26/11/2018
381595415;5384588;26/11/2018
381595415;5384588;26/11/2018
381595415;8604205;26/11/2018
381595415;22151370;26/11/2018
381586206;15655;16/11/2018
381586206;8604205;16/11/2018
381586206;1153097;05/12/2018
378680133;89246;08/11/2018
377876866;89246;07/11/2018
377876866;15655;08/11/2018
377876866;8604205;08/11/2018
377876866;15655;08/11/2018
377876866;8604205;08/11/2018
376849499;8604205;05/11/2018
376714043;8604205;02/11/2018
376066620;5384588;31/10/2018
376066620;5384588;31/10/2018
376066620;1153097;01/11/2018
376051127;8604205;31/10/2018
376051127;10137;02/11/2018
376051127;15655;02/11/2018
376051127;10137;03/11/2018
376051127;15655;03/11/2018
376045610;5384588;31/10/2018
376045610;5384588;31/10/2018
376014929;8604205;31/10/2018
374888136;5398896;29/10/2018
374875313;5384588;29/10/2018
374875313;5384588;29/10/2018
374875313;5398896;29/10/2018
374875313;5384588;29/10/2018
374875313;5384588;29/10/2018
373986810;8604205;26/10/2018
373878471;1153097;26/10/2018
373293626;5384588;24/10/2018
373293626;5384588;24/10/2018
373293626;8604205;24/10/2018
372093331;40311916;19/10/2018
372093331;15655;19/10/2018
372036934;5384588;19/10/2018
372036934;5384588;19/10/2018
372036934;25126828;19/10/2018
372036934;5384588;19/10/2018
372036934;5384588;19/10/2018
372036934;8604205;24/10/2018
372036934;25126828;24/10/2018
372036934;8604205;20/11/2018
372036934;25126828;23/11/2018
372036934;5384588;23/11/2018
372036934;5384588;23/11/2018
372036934;25126828;23/11/2018
372036934;25126828;23/11/2018
371994362;1153097;25/10/2018
371994362;4172600;25/10/2018
371994362;1153097;25/10/2018
371994362;4172600;25/10/2018
371994362;8604205;26/10/2018
371994362;4172600;26/10/2018
371994362;4172600;26/10/2018
371994362;8604205;26/10/2018
371994362;4172600;26/10/2018
371994362;8604205;26/10/2018
371994362;8604205;26/10/2018
371994362;4172600;26/10/2018
371994362;8604205;26/10/2018
371547371;5384588;18/10/2018
371547371;201162;22/10/2018
371547371;15655;23/10/2018
371547371;201162;23/10/2018
371547371;15655;23/10/2018
371547371;15655;23/10/2018
371547371;201162;23/10/2018
371547371;201162;24/10/2018
371547371;15655;24/10/2018
371547371;15655;24/10/2018
371547371;201162;25/10/2018
371547371;1153097;25/10/2018
371464008;8604205;18/10/2018
371221654;5384588;18/10/2018
371221654;5384588;18/10/2018
371221654;89246;25/10/2018
371221654;1758366;25/10/2018
371221654;89246;29/10/2018
371221654;89246;30/10/2018
370499117;15655;16/10/2018
370499117;89246;16/10/2018
370499117;15655;17/10/2018
370499117;15655;17/10/2018
370499117;15655;18/10/2018
370499117;342662;25/10/2018
370499117;15655;25/10/2018
369976941;31758568;15/10/2018
369976941;31758568;15/10/2018
369976941;31758568;15/10/2018
369976941;1153097;15/10/2018
369894597;8604205;14/10/2018
369894597;9433435;14/10/2018
369894597;8604205;14/10/2018
369894597;9433435;15/10/2018
369523264;20008041;12/10/2018
369523264;8604205;12/10/2018
369523264;20008041;12/10/2018
369263484;1758366;11/10/2018
369160941;1758366;11/10/2018
369029933;1153097;25/10/2018
369029933;1758366;25/10/2018
367344342;8604205;06/10/2018
367344342;1153097;06/10/2018
367344342;8604205;07/10/2018
367344342;1153097;08/10/2018
366720838;1153097;08/10/2018
366569158;8604205;04/10/2018
365835436;5384588;02/10/2018
365835436;5384588;02/10/2018
365835436;375258;02/10/2018
365835436;5384588;02/10/2018
365835436;5384588;02/10/2018
365835436;8604205;02/10/2018
365835436;1758366;04/10/2018
365835436;375258;04/10/2018
365295155;8604205;01/10/2018
365295155;177641;01/10/2018
365295155;8604205;02/10/2018
365295155;15655;10/10/2018
365295155;177641;10/10/2018
364877923;5384588;28/09/2018
364877923;5384588;28/09/2018
364877923;1153097;01/10/2018
364823323;15655;28/09/2018
364823323;43670124;28/09/2018
364823323;15655;28/09/2018
364823323;43670124;28/09/2018
364823323;43670124;28/09/2018
364823323;15655;30/09/2018
364823323;43670124;09/10/2018
364823323;15655;10/10/2018
364778990;5384588;28/09/2018
364778990;5384588;28/09/2018
364778990;17005317;28/09/2018
364778990;8604205;28/09/2018
364778990;17005317;28/09/2018
363163852;8604205;24/09/2018
362021445;15655;20/09/2018
361709786;8604205;19/09/2018
361630385;8604205;19/09/2018
361630385;3506071;29/11/2018
361588098;8604205;19/09/2018
361588098;8604205;26/09/2018
361480875;8604205;18/09/2018
361480875;413622;18/09/2018
361480875;8604205;19/09/2018
361480875;33262480;27/09/2018
361480875;5426569;29/10/2018
360880057;1153097;17/09/2018
360880057;1153097;18/09/2018
360880057;15655;19/09/2018
360880057;325517;24/09/2018
360880057;15655;24/09/2018
360880057;1758366;24/09/2018
360880057;325517;28/09/2018
360880057;15655;29/09/2018
360880057;216296;01/10/2018
360880057;1153097;09/10/2018
360139464;8604205;14/09/2018
360139464;23633546;14/09/2018
360054339;5384588;13/09/2018
360054339;5384588;13/09/2018
359998544;8604205;14/09/2018
359998544;8604205;14/09/2018
359670971;1758366;11/10/2018
359670971;1758366;11/10/2018
359670971;5885902;11/10/2018
359465121;3633549;12/09/2018
359465121;8604205;12/09/2018
358915900;8604205;11/09/2018
358915900;9129912;11/09/2018
358915900;8604205;11/09/2018
358915900;9129912;12/09/2018
358915900;8604205;12/09/2018
