;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
9409;5693176;0.0014231499051233396;0.015151515151515152;0.0006954102920723226;0.015234085548970962;4;4;4
4253;971735;0.0015812776723592662;0.015151515151515152;0.0;0.015233806171265773;4;4;1
7886;3373178;0.0014231499051233396;0.015151515151515152;0.0;0.015218205118838615;4;4;1
9044;5173410;0.0014231499051233396;0.015151515151515152;0.0;0.015218205118838615;4;4;1
9869;6602376;0.001265022137887413;0.015151515151515152;0.0;0.015204232713160454;4;4;1
10084;7212499;0.0011068943706514865;0.015151515151515152;0.0;0.015191893447966688;4;4;1
8472;4233080;0.0006325110689437065;0.015151515151515152;0.0006954102920723226;0.015180648112424242;4;4;4
4146;933164;0.0007906388361796331;0.015151515151515152;0.0;0.015172129750165885;4;4;1
6757;2121554;0.0007906388361796331;0.015151515151515152;0.0;0.015172129750165885;4;4;1
1145;150257;0.0007906388361796331;0.015151515151515152;0.0;0.015172129750165885;4;4;1
11066;12435195;0.00031625553447185326;0.015151515151515152;0.0;0.015154815371678973;3;4;1
4026;895300;0.00031625553447185326;0.015151515151515152;0.0;0.015154815371678973;3;4;1
7605;3037120;0.00031625553447185326;0.015151515151515152;0.0;0.015154815371678973;3;4;1
12193;488004;0.0;0.015151515151515152;0.0;0.015151515151515152;1;4;1
5192;1315533;0.007273877292852625;0.012626262626262628;0.0006954102920723226;0.014588193659708305;4;4;4
1011;132602;0.006166982922201139;0.012626262626262628;0.0013908205841446453;0.014120501696730091;4;4;4
5988;1672054;0.005534471853257432;0.012626262626262628;0.0;0.01378596701729172;4;4;1
1722;265561;0.005534471853257432;0.012626262626262628;0.0;0.01378596701729172;4;4;1
6849;2198073;0.005376344086021506;0.012626262626262628;0.0006954102920723226;0.013740858019533387;4;4;4
3928;868676;0.004427577482605946;0.012626262626262628;0.0027816411682892906;0.013666143488964158;4;4;4
3129;627997;0.004269449715370019;0.012626262626262628;0.0027816411682892906;0.013615734881692997;4;4;4
309;28537;0.008855154965211892;0.010101010101010102;0.002086230876216968;0.013593988884338031;4;4;4
5053;1265995;0.004269449715370019;0.012626262626262628;0.0013908205841446453;0.01340093618657704;4;4;4
2149;368636;0.004111321948134092;0.012626262626262628;0.0006954102920723226;0.013296957228737923;4;4;4
3182;643434;0.004111321948134092;0.012626262626262628;0.0;0.013278760336287629;4;4;1
4805;1169286;0.0039531941808981655;0.012626262626262628;0.0;0.013230655771323036;4;4;1
3292;673941;0.003478810879190386;0.012626262626262628;0.0013908205841446453;0.013170384008745161;4;4;4
2033;338488;0.0036369386464263124;0.012626262626262628;0.0;0.01313962825293112;4;4;1
10152;7422963;0.00015812776723592663;0.012626262626262628;0.003477051460361613;0.013097228682287344;1;4;4
3924;866808;0.002055660974067046;0.012626262626262628;0.0027816411682892906;0.013091439093422103;4;4;4
238;21678;0.002055660974067046;0.012626262626262628;0.0027816411682892906;0.013091439093422103;4;4;4
2671;498712;0.003004427577482606;0.012626262626262628;0.0013908205841446453;0.013053102116852334;4;4;4
3614;770808;0.003004427577482606;0.012626262626262628;0.0013908205841446453;0.013053102116852334;4;4;4
8600;4421318;0.0031625553447185324;0.012626262626262628;0.0006954102920723226;0.013034870911907196;4;4;4
